Sys Board Fault  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
IO Board VRD     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
PCIe Riser 1     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
PCIe Riser 2     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
PCIe Riser 3     | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Sideband MCI     | 0x0        | discrete   | 0x0480| na        | na        | na        | na        | na        | na

Left PCIe MCI    | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Right PCIe MCI   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Storage Board 1  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Storage Board 2  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Storage Riser 1  | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Storage Riser 2  | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na
Storage BP 1     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Storage BP 2     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Storage BP 3     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Storage BP 4     | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na
Storage BP 5     | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na
Storage BP 6     | 0x0        | discrete   | 0x0280| na        | na        | na        | na        | na        | na
M2 Card Temp     | na         | discrete   | na    | na        | na        | na        | na        | na        | na
M2 Card          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
M2 Card Fault    | na         | discrete   | na    | na        | na        | na        | na        | na        | na
M2 Drive 0       | na         | discrete   | na    | na        | na        | na        | na        | na        | na
M2 Drive 1       | na         | discrete   | na    | na        | na        | na        | na        | na        | na
ML2 Card 1 Fault | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
ML2 Card 2 Fault | na         | discrete   | na    | na        | na        | na        | na        | na        | na
PCIe Status      | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Compute Board 1  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 1 UPI  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 1 DIMM | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Compute Board 2  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 2 UPI  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 2 DIMM | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na
Compute Board 3  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 3 UPI  | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
CPU Board 3 DIMM | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
