RAID Card 1 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 2 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 3 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 4 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 5 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
RAID Card 6 Ctrl | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Lom link state   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
DIMMs Disabled   | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 0          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 1          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 2          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 3          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 4          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 5          | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Drive 6          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 7          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 8          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 9          | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 10         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 11         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 12         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 13         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 14         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive 15         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na
Drive Mismatch   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
DIMM 1           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 1 Temp      | 34.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 2           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 2 Temp      | 34.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 3           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 3 Temp      | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 4           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 4 Temp      | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 5           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 5 Temp      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 6           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 6 Temp      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 7           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 7 Temp      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 8           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 8 Temp      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 9           | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 9 Temp      | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 10          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 10 Temp     | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 11          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 11 Temp     | 33.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 12          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 12 Temp     | 33.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 13          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 13 Temp     | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 14          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 14 Temp     | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 15          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 15 Temp     | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 16          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 16 Temp     | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 17          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 17 Temp     | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 18          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 18 Temp     | 36.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 19          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 19 Temp     | 40.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 20          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 20 Temp     | 40.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 21          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 21 Temp     | 41.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 22          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 22 Temp     | 41.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 23          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 23 Temp     | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
DIMM 24          | 0x0        | discrete   | 0x4080| na        | na        | na        | na        | na        | na
DIMM 24 Temp     | 38.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
PCH OverTemp     | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCH Temp         | 51.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
Ambient Temp     | 22.000     | degrees C  | ok    | na        | na        | na        | 43.000    | 47.000    | 50.000
PCI 1 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCI 2 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCI 3 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCI 4 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCI 5 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCI 6 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
PCI 7 OverTemp   | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na
Fan 1 Tach       | 4977.000   | RPM        | ok    | na        | 630.000   | na        | na        | na        | na
Fan 2 Tach       | 4977.000   | RPM        | ok    | na        | 630.000   | na        | na        | na        | na
Fan 3 Tach       | 4977.000   | RPM        | ok    | na        | 630.000   | na        | na        | na        | na
Fan 4 Tach       | 4977.000   | RPM        | ok    | na        | 630.000   | na        | na        | na        | na
Fan 5 Tach       | 4977.000   | RPM        | ok    | na        | 630.000   | na        | na        | na        | na
Fan 6 Tach       | 5103.000   | RPM        | ok    | na        | 630.000   | na        | na        | na        | na
System Air Flow  | 60.000     | CFM        | ok    | na        | na        | na        | na        | na        | na
Exhaust Temp     | 29.000     | degrees C  | ok    | na        | na        | na        | na        | na        | na
Sys Fan Pwr      | 6.000      | Watts      | ok    | na        | na        | na        | na        | na        | na
